date,regime,volatility,drawdown,trend_signal,risk_multiplier,benchmark,detection_method
2021-04-20,1,0.1904561057582016,-0.01575271214147722,1,1.0,A,rules
2021-04-21,1,0.18114846343947755,-0.0055728934462773065,1,1.0,A,rules
2021-04-22,1,0.17337226920735288,-0.0003715262297519049,1,1.0,A,rules
2021-04-23,1,0.17706136532251357,0.0,1,1.0,A,rules
2021-04-26,1,0.15068978930605695,0.0,1,1.0,A,rules
2021-04-27,1,0.15398798788413334,-0.006261831949905443,1,1.0,A,rules
2021-04-28,1,0.1620847862337841,-0.01849424785204596,1,1.0,A,rules
2021-04-29,1,0.15531006347215168,-0.02322702781418376,1,1.0,A,rules
2021-04-30,1,0.15687579043755948,-0.026940439784476605,1,1.0,A,rules
2021-05-03,2,0.146418568086924,-0.030216979758264203,1,1.2,A,rules
2021-05-04,1,0.15788270558197545,-0.04689092762487256,1,1.0,A,rules
2021-05-05,1,0.16355479176623475,-0.02890636376874908,1,1.0,A,rules
2021-05-06,1,0.16292248934929626,-0.03596912771224696,1,1.0,A,rules
2021-05-07,1,0.1644707685971164,-0.02504732779962136,1,1.0,A,rules
2021-05-10,1,0.17301765078020348,-0.03982816368137468,1,1.0,A,rules
2021-05-11,1,0.1667664184117498,-0.04310470365516249,1,1.0,A,rules
2021-05-12,1,0.18077481096292622,-0.0633464394932286,1,1.0,A,rules
2021-05-13,1,0.1814507935735977,-0.05329838357361288,1,1.0,A,rules
2021-05-14,1,0.18063905824528687,-0.04507062763943496,1,1.0,A,rules
2021-05-17,1,0.18059190302768338,-0.05264307557885532,1,1.0,A,rules
2021-05-18,1,0.182116746452828,-0.06254550749963596,1,1.0,A,rules
2021-05-19,1,0.18299855285306832,-0.051914955584680324,1,1.0,A,rules
2021-05-20,1,0.19063836906125106,-0.03778942769768456,1,1.0,A,rules
2021-05-21,1,0.18028314885737462,-0.03669724770642196,1,1.0,A,rules
2021-05-24,1,0.18202249211182375,-0.0291247997670016,1,1.0,A,rules
2021-05-25,1,0.1811229551194628,-0.029925731760594244,1,1.0,A,rules
2021-05-26,1,0.17628739789849487,-0.029488859764089204,1,1.0,A,rules
2021-05-27,1,0.2094059090608249,0.0,1,1.0,A,rules
2021-05-28,1,0.20874415698717838,0.0,1,1.0,A,rules
2021-06-01,1,0.21017228315104444,-0.006732787953377303,1,1.0,A,rules
2021-06-02,1,0.1997549846453945,-0.011293708825019925,1,1.0,A,rules
2021-06-03,1,0.1900502428166771,-0.012741620212842909,1,1.0,A,rules
2021-06-04,1,0.19047607235301836,-0.001665098095996451,1,1.0,A,rules
2021-06-07,1,0.18772780329499317,-0.0034749873307752827,1,1.0,A,rules
2021-06-08,1,0.1783128983058912,0.0,1,1.0,A,rules
2021-06-09,1,0.17863760008486976,0.0,1,1.0,A,rules
2021-06-10,1,0.1641619190373994,0.0,1,1.0,A,rules
2021-06-11,1,0.16306646683895312,0.0,1,1.0,A,rules
2021-06-14,1,0.162537786369772,0.0,1,1.0,A,rules
2021-06-15,1,0.1559741227404128,0.0,1,1.0,A,rules
2021-06-16,1,0.15189446344340987,-0.00712211312404924,1,1.0,A,rules
2021-06-17,1,0.16332051382238844,0.0,1,1.0,A,rules
2021-06-18,1,0.17312667611812638,-0.013000272257010595,1,1.0,A,rules
2021-06-21,1,0.17343436937302642,-0.003471276885379737,1,1.0,A,rules
2021-06-22,1,0.17357784186606776,-0.001973863326980616,1,1.0,A,rules
2021-06-23,1,0.17232581935496588,0.0,1,1.0,A,rules
2021-06-24,1,0.17453013625920274,-0.0038712306438469274,1,1.0,A,rules
2021-06-25,2,0.142351607062736,0.0,1,1.2,A,rules
2021-06-28,2,0.14236179010105554,0.0,1,1.2,A,rules
2021-06-29,2,0.13733432095326703,0.0,1,1.2,A,rules
2021-06-30,2,0.13931525298330769,-0.0067199784960688125,1,1.2,A,rules
2021-07-01,2,0.13870249792867795,-0.006854378065990258,1,1.2,A,rules
2021-07-02,2,0.1365994378429212,0.0,1,1.2,A,rules
2021-07-06,2,0.13539005260623047,0.0,1,1.2,A,rules
2021-07-07,2,0.13457116429090027,0.0,1,1.2,A,rules
2021-07-08,2,0.13547986387780767,-0.00441501103752757,1,1.2,A,rules
2021-07-09,2,0.11978556104875085,0.0,1,1.2,A,rules
2021-07-12,2,0.12151471655096838,-0.0034659734719723403,1,1.2,A,rules
2021-07-13,2,0.12125535472515747,-0.005065653535959414,1,1.2,A,rules
2021-07-14,2,0.12310096631918228,-0.009331467039925385,1,1.2,A,rules
2021-07-15,2,0.11892187226326664,-0.007131906951942899,1,1.2,A,rules
2021-07-16,2,0.08833717253486632,-0.007331866959941307,1,1.2,A,rules
2021-07-19,2,0.0810489664700947,-0.016330067319869284,1,1.2,A,rules
2021-07-20,2,0.08416832947355483,-0.0048656935279610064,1,1.2,A,rules
2021-07-21,2,0.08496221586311058,-0.007198560287942495,1,1.2,A,rules
2021-07-22,2,0.08921159893586864,0.0,1,1.2,A,rules
2021-07-23,2,0.09724825193657997,0.0,1,1.2,A,rules
2021-07-26,2,0.11108912618208405,-0.013525047600288899,1,1.2,A,rules
2021-07-27,2,0.11082355675532851,-0.015494714726544637,1,1.2,A,rules
2021-07-28,2,0.11432195836706503,-0.005580723524391007,1,1.2,A,rules
2021-07-29,2,0.1132231427153221,0.0,1,1.2,A,rules
2021-07-30,2,0.11323574015887108,0.0,1,1.2,A,rules
2021-08-02,2,0.11198066407057579,-0.0010441819487045396,1,1.2,A,rules
2021-08-03,2,0.11274435055618438,0.0,1,1.2,A,rules
2021-08-04,2,0.11261701766693918,0.0,1,1.2,A,rules
2021-08-05,2,0.1108912473878202,0.0,1,1.2,A,rules
2021-08-06,2,0.10896913575880902,0.0,1,1.2,A,rules
2021-08-09,2,0.10773709127738733,0.0,1,1.2,A,rules
2021-08-10,2,0.10714882939068998,-0.00012776287210924882,1,1.2,A,rules
2021-08-11,2,0.10465363915097645,-0.00012776287210924882,1,1.2,A,rules
2021-08-12,2,0.10822923277446257,0.0,1,1.2,A,rules
2021-08-13,2,0.10833098025061022,0.0,1,1.2,A,rules
2021-08-16,2,0.10945053553086179,0.0,1,1.2,A,rules
2021-08-17,2,0.11391305625729836,-0.007157401122971535,1,1.2,A,rules
2021-08-18,2,0.11609163363243712,0.0,1,1.2,A,rules
2021-08-19,2,0.1434563490221382,0.0,1,1.2,A,rules
2021-08-20,2,0.1406752693676375,0.0,1,1.2,A,rules
2021-08-23,2,0.12384908403099347,0.0,1,1.2,A,rules
2021-08-24,2,0.12055218583197161,0.0,1,1.2,A,rules
2021-08-25,2,0.12466071774520922,0.0,1,1.2,A,rules
2021-08-26,2,0.12586290600752528,0.0,1,1.2,A,rules
2021-08-27,2,0.1268565637206031,0.0,1,1.2,A,rules
2021-08-30,2,0.12885713234917154,0.0,1,1.2,A,rules
2021-08-31,2,0.1385147175686493,-0.007129519606178866,1,1.2,A,rules
2021-09-01,2,0.1399135324065577,-0.007242686584054779,1,1.2,A,rules
2021-09-02,2,0.14271278479373017,0.0,1,1.2,A,rules
2021-09-03,2,0.142351670854232,0.0,1,1.2,A,rules
2021-09-07,1,0.1530045603961496,-0.008701472556894256,1,1.0,A,rules
2021-09-08,1,0.15109035730083856,-0.0030678268630076493,1,1.0,A,rules
2021-09-09,1,0.15876778031597794,-0.011434627398482883,1,1.0,A,rules
2021-09-10,1,0.15947295287684443,-0.011434627398482883,1,1.0,A,rules
2021-09-13,1,0.20159504651843674,-0.04016064257028106,1,1.0,A,rules
2021-09-14,1,0.1948698502515227,-0.03826416778224015,1,1.0,A,rules
2021-09-15,1,0.191599155903692,-0.03062248995983941,1,1.0,A,rules
2021-09-16,1,0.18985433253604,-0.03346720214190094,1,1.0,A,rules
2021-09-17,1,0.16458785955589217,-0.029785809906291854,1,1.0,A,rules
2021-09-20,1,0.1750186744210719,-0.044288264167782226,1,1.0,A,rules
2021-09-21,1,0.17088700171261106,-0.04373047746541724,1,1.0,A,rules
2021-09-22,1,0.1716655031076472,-0.038152610441767085,1,1.0,A,rules
2021-09-23,1,0.16190459684019826,-0.03631191432396247,1,1.0,A,rules
2021-09-24,1,0.16191563808926518,-0.03837572512271305,1,1.0,A,rules
2021-09-27,1,0.20301905395515701,-0.07195448460508705,1,1.0,A,rules
2021-09-28,0,0.2289550783374113,-0.10809906291834,1,0.5,A,rules
2021-09-29,0,0.22960323756444928,-0.10754127621597502,1,0.5,A,rules
2021-09-30,0,0.23214694856743012,-0.12131860776439089,1,0.5,A,rules
2021-10-01,0,0.22023744131661163,-0.1299085229808121,1,0.5,A,rules
2021-10-04,0,0.22178061302651045,-0.15015618027666214,1,0.5,A,rules
